# Dataset: National Business Survivability Scores by City (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Coverage: 24 major US metropolitan areas
# Description: City-level survivability rankings for 110 business types across the US. Scores predict the projected chance a business type lasts 2+ years.
# Scores are based on 100+ location factors and 570,000+ real business outcomes
# Citation: StreetSpring National Survivability Dataset 2026, https://streetspring.com/resources/data/national-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This ranking carries one row per business type and metro. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (24 metros).; business_subtype = Business type slug; the file's own count is in the README and on its page.; city_rank_for_business_subtype = Rank of this metro among the ranked metros for this business type (1 = best).; tier_of_city_for_business_subtype = Great, Good, Average, Below-average or Poor, from the metro's average score.; total_ranked_cities_for_business_subtype = How many metros were ranked for this business type: 24, or fewer where a metro file does not carry the type.; avg_survivability_score_for_business_subtype_in_city = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this metro. Use it to answer 'which city is best for X'.; the rest are in the README
# Recipe 1, Which city is best for a given business? Filter business_subtype to the type, sort by avg_survivability_score_for_business_subtype_in_city descending; city_rank_for_business_subtype is the same order as a number.
# Recipe 2, How wide is the gap between the best and worst city? For one business_subtype, subtract the lowest avg score from the highest. Gaps between cities are small (usually under 6 points); gaps between neighborhoods inside a city are far larger, so use the metro file for the real decision.
# Recipe 3, Where inside the best city should I look? Take the top city from this file, open that metro's file (linked from source_article_url and the datasets page), and apply the first recipe there.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/national-survivability-scores-2026
city,business_subtype,city_rank_for_business_subtype,tier_of_city_for_business_subtype,total_ranked_cities_for_business_subtype,avg_survivability_score_for_business_subtype_in_city,max_survivability_score_for_business_subtype_in_city,min_survivability_score_for_business_subtype_in_city,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,year,source_url_city_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,data_source
boston,hot-pot-restaurant,11,Good,24,78.6,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
los-angeles,hot-pot-restaurant,12,Good,24,78.4,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
san-diego,hot-pot-restaurant,15,Good,24,78.1,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
denver,hot-pot-restaurant,14,Good,24,78.1,82.2,71.8,82.7,80.8,73.2,71.4,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,17.8,28.2,StreetSpring Survivability Dataset 2026
baltimore,hot-pot-restaurant,13,Good,24,78.1,84.0,68.2,84.0,84.0,69.6,67.8,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,31.8,StreetSpring Survivability Dataset 2026
detroit,hot-pot-restaurant,16,Good,24,77.9,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
seattle,hot-pot-restaurant,20,Good,24,77.7,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
orlando,hot-pot-restaurant,18,Good,24,77.7,84.0,70.5,84.0,83.6,71.8,70.0,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
san-francisco,hot-pot-restaurant,19,Good,24,77.7,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
minneapolis,hot-pot-restaurant,17,Good,24,77.7,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
washington-dc,hot-pot-restaurant,21,Good,24,77.4,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
new-york-city,hot-pot-restaurant,22,Good,24,77.2,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
philadelphia,hot-pot-restaurant,23,Good,24,77.0,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
atlanta,hot-pot-restaurant,24,Good,24,76.8,84.0,71.0,84.0,82.7,72.3,70.5,2026,/resources/guides/national/city-survivability/hot-pot-restaurant,/resources/guides/national/neighborhood-survivability/hot-pot-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/hot-pot-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
chicago,french-restaurant,1,Great,24,82.1,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
st-louis,french-restaurant,2,Great,24,80.1,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
san-antonio,french-restaurant,3,Good,24,79.2,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
phoenix,french-restaurant,5,Good,24,79.0,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
miami,french-restaurant,4,Good,24,79.0,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
houston,french-restaurant,7,Good,24,78.9,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
dallas,french-restaurant,6,Good,24,78.9,82.7,73.2,83.1,81.3,74.5,72.8,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,17.3,26.8,StreetSpring Survivability Dataset 2026
orlando,french-restaurant,9,Good,24,78.8,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
boston,french-restaurant,8,Good,24,78.8,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
portland,french-restaurant,10,Good,24,78.7,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
san-diego,french-restaurant,11,Good,24,78.7,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
los-angeles,french-restaurant,12,Good,24,78.6,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
charlotte,french-restaurant,13,Good,24,78.5,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
baltimore,french-restaurant,14,Good,24,78.4,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
denver,french-restaurant,15,Good,24,78.4,83.1,72.3,83.6,81.8,73.7,71.8,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.9,27.7,StreetSpring Survivability Dataset 2026
tampa-bay,french-restaurant,17,Good,24,78.2,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
detroit,french-restaurant,16,Good,24,78.2,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
san-francisco,french-restaurant,18,Good,24,78.0,84.0,72.8,84.0,84.0,74.1,72.3,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,27.2,StreetSpring Survivability Dataset 2026
washington-dc,french-restaurant,20,Good,24,78.0,84.0,72.8,84.0,84.0,74.1,72.3,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,27.2,StreetSpring Survivability Dataset 2026
seattle,french-restaurant,19,Good,24,78.0,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
philadelphia,french-restaurant,22,Good,24,77.8,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
new-york-city,french-restaurant,21,Good,24,77.8,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
minneapolis,french-restaurant,23,Good,24,77.6,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
atlanta,french-restaurant,24,Good,24,77.1,83.6,70.5,84.0,82.2,71.8,70.0,2026,/resources/guides/national/city-survivability/french-restaurant,/resources/guides/national/neighborhood-survivability/french-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/french-restaurant,16.4,29.5,StreetSpring Survivability Dataset 2026
chicago,day-care-center,1,Great,24,83.1,86.0,69.3,86.0,86.0,70.7,68.9,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,30.7,StreetSpring Survivability Dataset 2026
st-louis,day-care-center,2,Great,24,81.0,86.0,71.2,86.0,86.0,72.5,70.7,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,28.8,StreetSpring Survivability Dataset 2026
san-antonio,day-care-center,3,Great,24,80.8,86.0,73.4,86.0,86.0,74.8,73.0,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,26.6,StreetSpring Survivability Dataset 2026
charlotte,day-care-center,4,Great,24,80.7,86.0,72.0,86.0,86.0,73.4,71.6,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,28.0,StreetSpring Survivability Dataset 2026
houston,day-care-center,5,Great,24,80.6,86.0,70.2,86.0,86.0,71.6,69.8,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,29.8,StreetSpring Survivability Dataset 2026
miami,day-care-center,6,Great,24,80.6,86.0,73.0,86.0,86.0,74.3,72.5,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,27.0,StreetSpring Survivability Dataset 2026
tampa-bay,day-care-center,8,Great,24,80.5,86.0,70.2,86.0,86.0,71.6,69.8,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,29.8,StreetSpring Survivability Dataset 2026
dallas,day-care-center,7,Great,24,80.5,84.7,74.8,85.1,83.3,76.1,74.3,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,15.3,25.2,StreetSpring Survivability Dataset 2026
philadelphia,day-care-center,9,Great,24,80.3,86.0,73.8,86.0,86.0,75.2,73.4,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,26.2,StreetSpring Survivability Dataset 2026
phoenix,day-care-center,10,Great,24,80.1,86.0,74.3,86.0,86.0,75.7,73.8,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,25.7,StreetSpring Survivability Dataset 2026
los-angeles,day-care-center,12,Great,24,80.0,86.0,72.5,86.0,86.0,73.8,72.0,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,27.5,StreetSpring Survivability Dataset 2026
boston,day-care-center,11,Great,24,80.0,86.0,69.3,86.0,86.0,70.7,68.9,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,30.7,StreetSpring Survivability Dataset 2026
san-francisco,day-care-center,13,Good,24,79.9,86.0,73.8,86.0,85.6,75.2,73.4,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,26.2,StreetSpring Survivability Dataset 2026
baltimore,day-care-center,14,Good,24,79.7,86.0,70.7,86.0,85.1,72.0,70.2,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,29.3,StreetSpring Survivability Dataset 2026
detroit,day-care-center,15,Good,24,79.7,86.0,70.7,86.0,85.6,72.0,70.2,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,29.3,StreetSpring Survivability Dataset 2026
washington-dc,day-care-center,17,Good,24,79.6,86.0,73.8,86.0,86.0,75.2,73.4,2026,/resources/guides/national/city-survivability/day-care-center,/resources/guides/national/neighborhood-survivability/day-care-center,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/day-care-center,14.0,26.2,StreetSpring Survivability Dataset 2026
